mol_id_a,mol_id_b,mol_id_c,x_a,x_b,x_c,dn_linear,dn_feature
230,3381,21380,0.0,0.0,1.0,36.01511299993127,29.346780532652193
230,3381,21380,0.0,0.05,0.95,36.020477562417206,29.332174109390103
230,3381,21380,0.0,0.1,0.9,36.02584212490315,29.227515041167955
230,3381,21380,0.0,0.15000000000000002,0.85,36.03120668738909,29.227311755525417
230,3381,21380,0.0,0.2,0.8,36.03657124987503,29.17858344545697
230,3381,21380,0.0,0.25,0.75,36.041935812360975,29.17858344545697
230,3381,21380,0.0,0.30000000000000004,0.7,36.04730037484691,29.17858344545697
230,3381,21380,0.0,0.35000000000000003,0.6499999999999999,36.05266493733285,29.193095548023702
230,3381,21380,0.0,0.4,0.6,36.058029499818794,29.19890747136242
230,3381,21380,0.0,0.45,0.55,36.06339406230474,29.204171950822275
230,3381,21380,0.0,0.5,0.5,36.068758624790675,29.204171950822275
230,3381,21380,0.0,0.55,0.44999999999999996,36.07412318727661,29.204148148574106
230,3381,21380,0.0,0.6000000000000001,0.3999999999999999,36.079487749762556,29.224910490275132
230,3381,21380,0.0,0.65,0.35,36.0848523122485,29.17643700068528
230,3381,21380,0.0,0.7000000000000001,0.29999999999999993,36.09021687473444,29.177537380775345
230,3381,21380,0.0,0.75,0.25,36.095581437220375,29.186035265591478
230,3381,21380,0.0,0.8,0.19999999999999996,36.10094599970632,29.186035265591478
230,3381,21380,0.0,0.8500000000000001,0.1499999999999999,36.106310562192256,29.186035265591478
230,3381,21380,0.0,0.9,0.09999999999999998,36.1116751246782,29.174961784375927
230,3381,21380,0.0,0.9500000000000001,0.04999999999999993,36.11703968716414,29.174961784375927
230,3381,21380,0.0,1.0,0.0,36.12240424965008,29.178561452059352
230,3381,21380,0.05,0.0,0.95,36.04860342460469,33.73691461364376
230,3381,21380,0.05,0.05,0.8999999999999999,36.05396798709064,33.73691461364376
230,3381,21380,0.05,0.1,0.85,36.059332549576574,33.5970420513478
230,3381,21380,0.05,0.15000000000000002,0.7999999999999999,36.06469711206252,33.5970420513478
230,3381,21380,0.05,0.2,0.75,36.07006167454846,33.5970420513478
230,3381,21380,0.05,0.25,0.7,36.0754262370344,33.59620365263558
230,3381,21380,0.05,0.30000000000000004,0.6499999999999999,36.080790799520344,33.594026169241154
230,3381,21380,0.05,0.35000000000000003,0.5999999999999999,36.086155362006274,33.594026169241154
230,3381,21380,0.05,0.4,0.5499999999999999,36.09151992449222,33.594026169241154
230,3381,21380,0.05,0.45,0.49999999999999994,36.096884486978155,33.594026169241154
230,3381,21380,0.05,0.5,0.44999999999999996,36.102249049464106,33.614788510942184
230,3381,21380,0.05,0.55,0.3999999999999999,36.10761361195004,33.614788510942184
230,3381,21380,0.05,0.6000000000000001,0.34999999999999987,36.11297817443598,33.61119160704622
230,3381,21380,0.05,0.65,0.29999999999999993,36.118342736921925,33.584057896461616
230,3381,21380,0.05,0.7000000000000001,0.2499999999999999,36.12370729940786,33.584057896461616
