mol_id,smiles,dn_pred_rf,dn_pred_xgb,dn_pred_ens,dn_rf,dn_empirical,dn_final,confidence,is_anchor
3381,c1cnc(-n2cnc3ncncc32)cn1,35.97166828484275,36.502968,36.2373180596577,28.778800000000025,46.34621911709991,36.52107022976183,low,False
21380,CN(CN)n1cnc2ncncc21,35.96171687594874,36.182003,36.071859948594486,28.941200000000038,45.26722547423519,36.19513538992411,low,False
21371,NCCNn1cnc2ncncc21,35.910135984945434,36.054558,35.982346892619205,28.715200000000028,45.28488544481344,36.06056769554395,low,False
21389,NC1CN1n1cnc2ncncc21,35.89880827319785,35.987675,35.94324149316631,28.506800000000016,45.45617799749503,35.99736344427175,low,False
21363,NCNn1cnc2ncncc21,35.82009289878586,35.980446,35.90026938030113,28.61040000000003,45.28025679883953,35.992864002709204,low,False
21387,CCC1CN1n1cnc2ncncc21,35.32587748849303,35.52621,35.42604413670257,29.66420000000002,42.56071529567086,35.53209212351336,low,False
21378,CCCN(C)n1cnc2ncncc21,35.36631289863083,35.481747,35.42402978610741,29.72040000000002,42.35173814386848,35.47831166122522,medium,False
21369,CCCCNn1cnc2ncncc21,35.24860099336324,35.43002,35.339310186012675,29.591400000000014,42.55473959766471,35.48597358577521,low,False
21361,CCCNn1cnc2ncncc21,35.24723357565895,35.35599,35.30161246959217,29.581000000000017,42.321454558124245,35.382353614250626,low,False
3380,c1cc(-n2cnc3ncncc32)ccn1,35.14052478077846,35.276474,35.20849938990095,29.55180000000002,42.17503159371056,35.303655598974686,medium,False
21374,N#CCCNn1cnc2ncncc21,35.02126570785196,35.24846,35.13486228507833,28.40360000000003,43.782050473746814,35.26425738387406,low,False
21355,NNn1cnc2ncncc21,35.129053990787995,35.087772,35.10841318008638,27.762800000000023,44.356736485777375,35.0922670072388,low,False
21392,N#CC1CN1n1cnc2ncncc21,34.890372473069455,35.22567,35.058021166954646,28.082000000000026,44.137008716580524,35.20590119254179,low,False
21383,CN(CC#N)n1cnc2ncncc21,34.73262068315127,35.301094,35.016857369163525,28.37300000000004,43.88196416941112,35.285449825369994,low,False
3385,c1ncc2c(n1)ncn2C1CCNC1,35.00885915218495,35.01459,35.011725184612985,29.089400000000012,42.18219458217335,35.02934100263198,low,False
21385,CN(CS)n1cnc2ncncc21,34.98838941483982,35.003777,34.99608298256639,28.67220000000004,42.77183887288679,35.01946199659821,low,False
21366,N#CCNn1cnc2ncncc21,34.870241939805595,35.090115,34.98017826665573,28.10700000000003,43.899511281162034,35.12667880087189,low,False
21377,CCN(C)n1cnc2ncncc21,34.96359174499607,34.987495,34.97554358367968,29.002000000000034,42.10841955700606,34.94607823479326,low,False
21386,CC1CN1n1cnc2ncncc21,34.96388215536509,34.9767,34.97029099223333,28.822200000000024,42.31784698014856,34.92410985596109,low,False
21293,CC(C)(CN)n1cnc2ncncc21,34.91959589705053,34.903976,34.91178616874011,29.10540000000002,41.84651214697561,34.89927613350433,low,False
