mol_id,smiles,dn_pred_rf,dn_pred_xgb,dn_pred_ens,MW,LogP,TPSA,Nrot,SA
0,O=CO,18.920871020238685,18.788342,18.8610283132868,46.025,-0.29919999999999997,37.3,0,1.15
1,NC=O,23.94803673531061,24.016386,23.982731128478775,45.041,-0.8985000000000001,43.09,0,1.15
2,CC=O,19.305077358181705,19.428034,19.364083027881286,44.053,0.2052,17.07,0,1.15
9,CNC=O,25.00221907909845,24.996393,24.994694478542563,59.068000000000005,-0.6378000000000001,29.1,1,1.38
13,O=C1CNC(=O)N1,26.010659480440715,25.852646,25.95660961642476,100.077,-1.1742,58.2,0,1.85
16,COC,19.60699832429968,19.532892,19.533771826355142,46.069,0.26260000000000006,9.23,0,1.15
18,OCO,19.59029056639061,19.635117,19.627150938022744,48.041000000000004,-1.0715000000000001,40.46,0,1.15
20,OCCO,19.91781312107097,19.99438,19.957779321180972,62.068000000000005,-1.0290000000000001,40.46,1,1.38
27,C1COC1,20.03029103143684,20.58183,20.295672445438946,58.07999999999999,0.40670000000000006,9.23,0,1.7
30,CCN,27.07630888675266,26.448763,26.804645261192114,45.084999999999994,-0.03499999999999981,26.02,0,1.15
31,CN(C)C,29.455854457384472,28.59196,29.139471116938136,59.111999999999995,0.17779999999999996,3.24,0,1.2
32,CNC,27.05749913964953,26.643541,26.955647285124698,45.085,-0.1644000000000001,12.03,0,1.15
33,NCCN,28.1710639023408,28.03464,28.06447508027462,60.09999999999999,-1.0962,52.04,1,1.38
35,C1CCNC1,29.803171701320174,29.545212,29.66259461345234,71.123,0.36979999999999996,12.03,0,1.75
36,C1CCNCC1,31.438360676633128,32.079155,31.707666600296662,85.15,0.7599,12.03,0,1.8
37,C1CNCCN1,29.472165901766413,29.506039,29.489396392770395,86.138,-0.8208,24.06,0,1.8
38,C1COCCN1,25.522225875744443,25.066967,25.31510910551961,87.122,-0.3938000000000001,21.259999999999998,0,1.8
39,C1CNC1,27.07130419495442,27.33709,27.2349678365685,57.096,-0.02030000000000004,12.03,0,1.7
41,c1ccncc1,31.92405059089059,33.082184,32.5031922294899,79.10199999999998,1.0816,12.89,0,3.3
45,c1ncc2[nH]cnc2n1,31.198683012290687,31.70932,31.47619692795932,120.115,0.3528999999999999,54.46,0,4.7
49,CN(C)C=O,26.218125932432507,26.506157,26.33905618005334,73.095,-0.2956000000000001,20.310000000000002,1,1.43
51,O=CN1CC1,25.70295723348527,25.276852,25.497302837726465,71.07900000000001,-0.5416000000000001,20.08,1,1.93
52,O=CNCCO,24.258048031774287,24.400248,24.334823963966194,89.094,-1.2753000000000003,49.33,3,1.84
53,CC#N,17.907144261289716,14.120077,16.140812312532272,41.053,0.52988,23.79,0,1.15
58,CCF,19.052361581954194,18.334623,18.6766977595638,48.06,0.9758,0.0,0,1.15
75,OP,21.8415481872079,22.054296,21.9362147867733,49.997,-0.23120000000000002,20.23,0,1.1
76,O=P,20.94385726547512,20.681063,20.805147368241226,47.981,0.47469999999999996,17.07,0,1.1
86,O=CC=O,19.06469377098937,19.072838,19.08999466097239,58.036,-0.6158000000000001,34.14,1,1.38
90,CNC(=O)C=O,24.336852978130672,24.400957,24.37624790457976,87.07799999999999,-1.0687000000000002,46.17,1,1.48
