label,area_cm2,npn_ratio,c_rate,temperature_C,predicted_recovery_pct,f_total,f_area,f_npn,f_rate,f_temperature
Coin cell (CR2032),1.0,1.05,0.5,25.0,93.7,0.98636,1.0,0.98636,1.0,1.0
Pouch 1 Ah,50.0,1.1,0.5,25.0,91.77,0.96602,0.96602,1.0,1.0,1.0
Pouch 3 Ah,180.0,1.15,0.5,25.0,89.48,0.94187,0.95489,0.98636,1.0,1.0
Pouch 3 Ah (cold),180.0,1.15,0.5,10.0,49.21,0.51803,0.95489,0.98636,1.0,0.55
Pouch 3 Ah (high C),180.0,1.15,1.0,25.0,85.44,0.89934,0.95489,0.98636,0.95485,1.0
