run,rank,feature
1,36,VSA_EState1
1,37,n_O
1,38,EState_VSA8
1,39,NOCount
1,40,maccs_100
1,41,fr_NH1
1,42,maccs_84
1,43,maccs_159
1,44,maccs_164
1,45,SMR_VSA2
1,46,maccs_42
1,47,MinAbsPartialCharge
1,48,fr_NH2
1,49,morgan_429
1,50,polarizability_proxy
1,51,BCUT2D_MRLOW
1,52,NumAromaticHeterocycles
1,53,fr_nitrile
1,54,BCUT2D_MRHI
1,55,PEOE_VSA4
1,56,TPSA
1,57,MolMR
1,58,PEOE_VSA14
1,59,NHOHCount
1,60,morgan_278
1,61,VSA_EState4
1,62,BCUT2D_CHGLO
1,63,morgan_330
1,64,maccs_117
1,65,NumHAcceptors
1,66,SlogP_VSA12
1,67,SMR_VSA10
1,68,VSA_EState2
1,69,FpDensityMorgan2
1,70,maccs_79
1,71,maccs_120
1,72,MaxAbsPartialCharge
1,73,EState_VSA1
1,74,morgan_114
1,75,BCUT2D_CHGHI
1,76,maccs_146
1,77,MinPartialCharge
1,78,BCUT2D_LOGPHI
1,79,FpDensityMorgan3
1,80,PEOE_VSA3
1,81,BCUT2D_LOGPLOW
1,82,maccs_134
1,83,SlogP_VSA3
1,84,MolLogP
1,85,SMR_VSA9
1,86,MinAbsEStateIndex
1,87,Chi0v1
1,88,morgan_162
1,89,VSA_EState7
1,90,Chi1v0
1,91,maccs_157
1,92,LabuteASA
1,93,ExactMolWt
1,94,BCUT2D_MWLOW
1,95,Chi0n
1,96,VSA_EState8
1,97,Chi0v
1,98,maccs_77
1,99,Chi0v0
1,100,Chi1n
1,101,morgan_392
1,102,BertzCT
1,103,qed
1,104,Chi1v1
1,105,MolWt
1,106,Chi1v
1,107,FpDensityMorgan1
1,108,NumValenceElectrons
1,109,SlogP_VSA2
1,110,maccs_41
1,111,PEOE_VSA6
1,112,Kappa3
1,113,morgan_428
1,114,Kappa1
1,115,PEOE_VSA1
1,116,PEOE_VSA7
1,117,VSA_EState6
1,118,maccs_162
1,119,FractionCSP3
1,120,Chi0
1,121,BalabanJ
1,122,HeavyAtomMolWt
1,123,EState_VSA9
1,124,maccs_106
1,125,maccs_94
1,126,n_aromatic_rings
1,127,morgan_379
1,128,Chi4n
1,129,maccs_88
1,130,VSA_EState10
1,131,n_S
1,132,morgan_337
1,133,Chi2n
1,134,Chi2v
1,135,Kappa2
1,136,SMR_VSA6
1,137,maccs_80
1,138,Chi4v1
1,139,maccs_154
1,140,Chi3v1
1,141,VSA_EState9
1,142,maccs_140
1,143,Chi3n
1,144,Chi2v0
1,145,VSA_EState3
1,146,Chi4v0
1,147,morgan_420
1,148,SlogP_VSA8
1,149,Chi1
1,150,Chi3v
1,151,SlogP_VSA5
1,152,Chi2v1
1,153,morgan_302
1,154,Chi3v0
1,155,PEOE_VSA10
1,156,Chi4v
1,157,Ipc
1,158,fr_pyridine
1,159,SMR_VSA5
1,160,PEOE_VSA9
1,161,VSA_EState5
1,162,fr_imidazole
1,163,PEOE_VSA12
1,164,maccs_112
1,165,NumAromaticRings
1,166,SlogP_VSA4
1,167,morgan_319
1,168,PEOE_VSA8
1,169,EState_VSA2
1,170,PEOE_VSA2
1,171,SlogP_VSA6
1,172,maccs_165
1,173,fr_ArN
1,174,morgan_138
1,175,EState_VSA5
1,176,EState_VSA3
1,177,maccs_135
1,178,EState_VSA6
1,179,EState_VSA7
1,180,EState_VSA4
1,181,morgan_62
1,182,morgan_64
1,183,morgan_26
1,184,RingCount
1,185,fr_C_O
1,186,SMR_VSA7
1,187,PEOE_VSA5
1,188,NumRotatableBonds
1,189,maccs_110
1,190,n_heavy
1,191,HeavyAtomCount
1,192,fr_ether
1,193,maccs_124
1,194,fr_aniline
1,195,morgan_82
1,196,maccs_38
1,197,NumAliphaticRings
1,198,NumSaturatedRings
1,199,fr_C_O_noCOO
1,200,morgan_369
2,1,n_N
2,2,maccs_161
2,3,SMR_VSA3
2,4,maccs_158
2,5,SlogP_VSA1
2,6,maccs_151
2,7,maccs_142
2,8,SMR_VSA1
2,9,fr_NH0
2,10,maccs_121
2,11,mean_electronegativity
2,12,n_F
2,13,MeanEStateIndex
2,14,SlogP_VSA10
2,15,maccs_156
2,16,HOMO_proxy
2,17,maccs_111
2,18,BCUT2D_MWHI
2,19,MaxEStateIndex
2,20,HL_gap_proxy
2,21,EState_VSA10
2,22,MaxAbsEStateIndex
2,23,n_X_halogen
2,24,fr_Ar_N
2,25,fr_halogen
2,26,dipole_proxy
2,27,LUMO_proxy
2,28,HallKierAlpha
2,29,MinEStateIndex
2,30,fr_alkyl_halide
2,31,VSA_EState1
2,32,maccs_100
2,33,maccs_65
2,34,EState_VSA8
2,35,MaxPartialCharge
2,36,NOCount
2,37,n_O
2,38,maccs_107
2,39,maccs_84
2,40,maccs_164
2,41,NumHeteroatoms
2,42,maccs_42
2,43,NumAromaticHeterocycles
2,44,MinAbsPartialCharge
2,45,morgan_147
2,46,morgan_378
2,47,SMR_VSA2
2,48,PEOE_VSA14
2,49,polarizability_proxy
2,50,PEOE_VSA4
2,51,BCUT2D_MRLOW
2,52,fr_NH2
2,53,fr_NH1
2,54,BCUT2D_MRHI
2,55,maccs_41
2,56,TPSA
2,57,maccs_98
2,58,morgan_428
2,59,NumHAcceptors
2,60,morgan_429
2,61,maccs_159
2,62,maccs_79
2,63,BCUT2D_LOGPLOW
2,64,SMR_VSA10
2,65,fr_nitrile
2,66,MaxAbsPartialCharge
2,67,MinPartialCharge
2,68,SlogP_VSA12
2,69,MolMR
2,70,BCUT2D_CHGLO
2,71,EState_VSA1
2,72,maccs_134
2,73,MolLogP
2,74,VSA_EState2
2,75,BCUT2D_CHGHI
2,76,SlogP_VSA8
2,77,VSA_EState4
2,78,FpDensityMorgan1
2,79,BCUT2D_LOGPHI
2,80,PEOE_VSA3
2,81,NHOHCount
2,82,maccs_157
2,83,morgan_114
2,84,MinAbsEStateIndex
2,85,morgan_162
2,86,SMR_VSA9
2,87,BertzCT
2,88,LabuteASA
2,89,VSA_EState7
2,90,Chi0v0
2,91,VSA_EState8
2,92,SlogP_VSA2
2,93,Chi0v
2,94,Chi0v1
2,95,maccs_146
2,96,BCUT2D_MWLOW
2,97,Chi1v
2,98,Kappa3
2,99,Chi0n
2,100,VSA_EState6
2,101,Kappa1
2,102,Chi1v1
2,103,morgan_392
2,104,Chi1v0
2,105,MolWt
2,106,ExactMolWt
2,107,FpDensityMorgan2
2,108,PEOE_VSA7
2,109,NumAromaticRings
2,110,NumValenceElectrons
2,111,Chi1n
2,112,PEOE_VSA6
2,113,FpDensityMorgan3
2,114,SlogP_VSA5
2,115,Kappa2
2,116,SMR_VSA5
2,117,Chi3n
2,118,PEOE_VSA1
2,119,SMR_VSA7
2,120,VSA_EState9
2,121,morgan_413
2,122,fr_Ar_NH
2,123,HeavyAtomMolWt
2,124,Chi2n
2,125,qed
2,126,Chi4n
