mol_id_a,mol_id_b,x_a,x_b,dn_linear,dn_feature,dn_feature_minus_linear
230,3381,0.0,1.0,36.12240424965008,29.178561452059352,-6.9438427975907295
230,3381,0.05,0.95,36.15053011183757,33.58057090792605,-2.569959203911516
230,3381,0.1,0.9,36.178655974025055,33.394356247025456,-2.784299726999599
230,3381,0.15000000000000002,0.85,36.20678183621254,33.40840056304532,-2.798381273167223
230,3381,0.2,0.8,36.23490769840003,33.42347016406889,-2.811437534331141
230,3381,0.25,0.75,36.263033560587516,33.42347016406889,-2.8395633965186278
230,3381,0.30000000000000004,0.7,36.291159422775,33.42476406016487,-2.8663953626101346
230,3381,0.35000000000000003,0.6499999999999999,36.31928528496249,33.42476406016487,-2.8945212247976215
230,3381,0.4,0.6,36.34741114714998,33.42476406016487,-2.9226470869851084
230,3381,0.45,0.55,36.375537009337464,33.4292504144264,-2.946286594911065
230,3381,0.5,0.5,36.40366287152495,33.36348488062947,-3.0401779908954794
230,3381,0.55,0.44999999999999996,36.43178873371244,33.399834683437106,-3.0319540502753313
230,3381,0.6000000000000001,0.3999999999999999,36.459914595899924,33.34688485215324,-3.1130297437466865
230,3381,0.65,0.35,36.48804045808741,33.41351551666719,-3.074524941420222
230,3381,0.7000000000000001,0.29999999999999993,36.5161663202749,33.39621253330622,-3.1199537869686793
230,3381,0.75,0.25,36.544292182462385,33.38217882156748,-3.1621133608949066
230,3381,0.8,0.19999999999999996,36.57241804464987,33.62906561867225,-2.943352425977622
230,3381,0.8500000000000001,0.1499999999999999,36.60054390683736,34.08275932645626,-2.5177845803810968
230,3381,0.9,0.09999999999999998,36.628669769024846,35.01358800401485,-1.6150817650099967
230,3381,0.9500000000000001,0.04999999999999993,36.65679563121233,35.812648459846805,-0.8441471713655275
230,3381,1.0,0.0,36.68492149339982,37.99429695730463,1.3093754639048072
230,21380,0.0,1.0,36.01511299993127,29.346780532652193,-6.668332467279075
230,21380,0.05,0.95,36.04860342460469,33.73691461364376,-2.3116888109609306
230,21380,0.1,0.9,36.082093849278124,33.737514959938,-2.344578889340127
230,21380,0.15000000000000002,0.85,36.115584273951555,33.75188910936935,-2.3636951645822037
230,21380,0.2,0.8,36.14907469862498,33.75234677122611,-2.396727927398871
230,21380,0.25,0.75,36.18256512329841,33.598592346513286,-2.5839727767851244
230,21380,0.30000000000000004,0.7,36.216055547971834,33.64028356905832,-2.575771978913515
230,21380,0.35000000000000003,0.6499999999999999,36.24954597264526,33.64028356905832,-2.609262403586939
230,21380,0.4,0.6,36.28303639731869,33.639504316980116,-2.6435320803385736
230,21380,0.45,0.55,36.31652682199211,33.57669805060352,-2.739828771388595
230,21380,0.5,0.5,36.350017246665544,33.57699343890732,-2.7730238077582214
230,21380,0.55,0.44999999999999996,36.383507671338975,33.484499140548444,-2.899008530790532
230,21380,0.6000000000000001,0.3999999999999999,36.4169980960124,33.484499140548444,-2.932498955463956
230,21380,0.65,0.35,36.45048852068582,33.52028067360489,-2.9302078470809363
230,21380,0.7000000000000001,0.29999999999999993,36.483978945359254,33.51996550824389,-2.964013437115362
230,21380,0.75,0.25,36.51746937003268,34.22051779766387,-2.296951572368812
230,21380,0.8,0.19999999999999996,36.55095979470611,34.524761673754384,-2.026198120951726
230,21380,0.8500000000000001,0.1499999999999999,36.584450219379534,34.14568894208929,-2.43876127729024
230,21380,0.9,0.09999999999999998,36.617940644052965,35.149871902490375,-1.4680687415625897
230,21380,0.9500000000000001,0.04999999999999993,36.65143106872639,37.673782688831,1.0223516201046081
230,21380,1.0,0.0,36.68492149339982,37.99429695730463,1.3093754639048072
230,21371,0.0,1.0,35.876151984080856,29.34942168832693,-6.526730295753925
230,21371,0.05,0.95,35.9165904595468,33.74765737890111,-2.1689330806456937
230,21371,0.1,0.9,35.95702893501275,33.74808812936135,-2.2089408056514017
230,21371,0.15000000000000002,0.85,35.997467410478706,33.76213244538121,-2.2353349650974934
230,21371,0.2,0.8,36.03790588594465,33.580894742099346,-2.457011143845307
230,21371,0.25,0.75,36.0783443614106,33.65022152227228,-2.428122839138318
230,21371,0.30000000000000004,0.7,36.11878283687655,33.65070397164348,-2.4680788652330676
230,21371,0.35000000000000003,0.6499999999999999,36.15922131234249,33.65070397164348,-2.508517340699008
230,21371,0.4,0.6,36.19965978780844,33.636810007249316,-2.5628497805591266
230,21371,0.45,0.55,36.24009826327439,33.57379102700332,-2.6663072362710736
230,21371,0.5,0.5,36.28053673874034,33.57505723077961,-2.7054795079607246
230,21371,0.55,0.44999999999999996,36.320975214206285,33.57505723077961,-2.745917983426672
230,21371,0.6000000000000001,0.3999999999999999,36.36141368967223,33.61520052230404,-2.7462131673681895
230,21371,0.65,0.35,36.40185216513818,33.51852634421244,-2.883325820925741
230,21371,0.7000000000000001,0.29999999999999993,36.44229064060413,33.51741941246017,-2.9248712281439566
230,21371,0.75,0.25,36.482729116070075,34.21975808461072,-2.262971031459358
230,21371,0.8,0.19999999999999996,36.52316759153603,34.540218516463,-1.98294907507303
230,21371,0.8500000000000001,0.1499999999999999,36.56360606700198,35.169196305415184,-1.3944097615867932
230,21371,0.9,0.09999999999999998,36.604044542467925,35.14834213925331,-1.455702403214616
230,21371,0.9500000000000001,0.04999999999999993,36.644483017933865,37.673782688831,1.0292996708971316
230,21371,1.0,0.0,36.68492149339982,37.99429695730463,1.3093754639048072
230,21363,0.0,1.0,35.83905630597516,28.946937587561045,-6.8921187184141175
230,21363,0.05,0.95,35.8813495653464,33.54684117601524,-2.3345083893311553
230,21363,0.1,0.9,35.92364282471763,33.546945919387944,-2.3766969053296876
230,21363,0.15000000000000002,0.85,35.96593608408887,33.56628053617879,-2.399655547910079
230,21363,0.2,0.8,36.008229343460094,33.56684387451689,-2.441385468943203
