scan_number,r_cathode_ohm,r_anode_ohm,r_total_ohm,r_total_normalized,lif_cathode_nm,lif_anode_nm
0,85.0,150.0,235.0,1.0,3.0,5.0
1,51.4722,90.8332,142.3054,0.6056,2.3,3.834
2,31.1692,55.0045,86.1737,0.3667,1.782,2.97
3,18.8747,33.3083,52.183,0.2221,1.398,2.33
4,11.4297,20.17,31.5997,0.1345,1.113,1.855
5,6.9213,12.214,19.1353,0.0814,0.902,1.504
