mol_id,smiles,dn_stack_point,ebm_mean,ebm_std,ebm_q05,ebm_q50,ebm_q95,ess_sgld,ess_mh,ess_gibbs,iact_sgld,mh_accept_rate,five_model_std
3381,c1cnc(-n2cnc3ncncc32)cn1,35.99052725422706,36.743096768315475,1.7154838714880423,34.60848617553711,36.26721382141113,40.155800247192374,4.5271690065891015,4.309934443706276,7.062210257516585,44.17771894729543,1.0,0.9998719937676063
230,Nc1ccccn1,35.983903621723755,35.61788984566149,1.534263270239481,32.513242709209976,35.861894607543945,37.93476552302419,11.007439524844564,5.358874598929526,10.067642796078363,18.16952975745049,1.0,2.470198850272043
21380,CN(CN)n1cnc2ncncc21,35.923981678909314,36.6589523437225,3.587749720579503,32.57697037712718,35.919097900390625,45.15112386086719,14.285323657418685,2.823863794173577,8.21707964743078,14.000382826197681,1.0,0.8292515291416843
21371,NCCNn1cnc2ncncc21,35.82488989848268,37.35971759686821,2.778162875236244,34.62010880165505,36.03138241355349,42.52193401600739,6.7784339834565515,5.956417681093636,10.175865486934581,29.50534009597498,1.0,0.8009493380172049
21389,NC1CN1n1cnc2ncncc21,35.78651101279553,35.25847811451086,5.267533616524064,26.92204532623291,35.801313400268555,45.340066836906054,3.8150028781304504,4.334532132438135,7.572592257323327,52.42460003018671,1.0,0.7619723357279682
21363,NCNn1cnc2ncncc21,35.724501351286335,36.28607135296331,2.5679028017196166,32.78032445122898,35.58798599243164,41.66949634552002,4.433074437291633,8.677654766353001,3.640873354838482,45.1154165870919,1.0,0.753494953277664
21369,CCCCNn1cnc2ncncc21,35.43116760657665,34.36399854510551,2.6089891978058932,29.557558250427245,35.48789405822754,37.54611295441505,6.449570961490331,3.210594777964425,4.4118064423600245,31.009814636380884,1.0,0.6200912604935941
21387,CCC1CN1n1cnc2ncncc21,35.39703197865799,37.61877344346417,3.58338407319703,33.233770561218265,36.33634567260742,45.28357082280047,6.471601539690233,3.34279377919425,2.9523785516404173,30.904251254253385,1.0,0.6074318545409494
21378,CCCN(C)n1cnc2ncncc21,35.3282822230276,32.949383788423944,3.3758122271271174,26.89865385230822,34.391530990600586,36.43329696655273,2.927833912140466,4.7711220649341834,9.175946749885535,68.30988573862956,1.0,0.6048729648521275
21361,CCCNn1cnc2ncncc21,35.30390365012666,37.95794791167677,2.8122117236588116,34.54774516748597,36.8646706758607,43.444891419097026,4.133884241575553,3.190352462836424,2.9872222387562077,48.38064839565361,1.0,0.5665041661521991
3380,c1cc(-n2cnc3ncncc32)ccn1,35.14642842423305,34.689175591126826,4.165898255254237,25.888656616210938,34.79305076599121,40.52726334258266,2.9096103907327735,5.479651426364819,15.460641416476,68.73772537966185,1.0,0.7674831198969968
21383,CN(CC#N)n1cnc2ncncc21,35.09467874849473,35.106469548305164,1.6045718195126948,32.59715354080282,34.899594599070426,37.734279725574424,14.422214013080294,5.704333106491215,13.494510073624216,13.867496337151083,1.0,0.49316616536074953
21392,N#CC1CN1n1cnc2ncncc21,35.06912750492721,31.471301275368035,3.311644593607315,26.971287536621094,31.27716966406375,35.64999370574951,3.9256451170702786,5.315116547106359,5.791024746112607,50.94704030436165,1.0,0.47048984523571435
21377,CCN(C)n1cnc2ncncc21,35.02490064757282,33.67007263936629,1.946482986253778,29.699017597268735,33.856246946031746,37.01499996185303,4.546942401106145,7.61258713158771,4.820863193117083,43.98560227007616,1.0,0.46996046919803586
21386,CC1CN1n1cnc2ncncc21,35.01640545333038,39.068127448043214,4.438830901797608,34.14048983149569,36.93234825134277,48.27838630676269,3.733192676088988,4.247248678622526,3.842173676964546,53.57344700716771,1.0,0.47025849188465524
21374,N#CCCNn1cnc2ncncc21,35.001928182696346,35.07244821237304,4.076195383362424,27.622705466094967,35.92032432556152,41.95146884918212,4.084223589500353,4.143777145226637,3.963624369919598,48.968915539824096,1.0,0.48259102424814887
21385,CN(CS)n1cnc2ncncc21,34.98468489672226,36.71742819447861,5.706914451692533,26.823104586939376,35.59387969970703,45.92124347686767,4.604025467772508,3.0271770515544114,5.820773177310315,43.44024623668357,1.0,0.43306770120565763
3364,CCNn1cnc2ncncc21,34.97134742859322,39.284366024923806,3.908570540169037,34.07196884155273,40.39335296151309,44.79048194885254,3.959742237218692,8.159528965299916,3.637510091476326,50.50833817417349,1.0,0.43050476545674277
21366,N#CCNn1cnc2ncncc21,34.95810340719379,30.967400513195347,2.792355439709878,26.239544582366943,31.017358493707963,34.359457397460936,9.796956807912386,7.4832622385203615,12.299684823083474,20.414502576807585,1.0,0.4379347551794277
21293,CC(C)(CN)n1cnc2ncncc21,34.9051166876167,37.43782683546926,7.016712440541205,30.407500927881582,34.107887268066406,51.3677791595459,3.005345523327138,3.454879263647911,3.1329409026000956,66.54808854676561,1.0,0.41366578543725063
