id,source_db,smiles,name,cas,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,be_litfsi_kcal,be_polysulfide_kcal,diffusion,density,molecular_weight,melting_point_c,boiling_point_c,family,doi,license,notes
CB-0032,ComBat,CN(C)C=O,DMF,68-12-2,26.5,nan,38.0,0.802,nan,nan,nan,nan,-29.67090443,-29.72794024,1.63e-05,0.95,73.09,-61.16111111,148.8388889,Formamide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0033,ComBat,COCCOCC(F)(F)F,TFEG,123525-89-3,nan,nan,nan,nan,nan,nan,nan,nan,-34.96617836,-34.7194415,nan,1.1,158.12,nan,101.3,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0034,ComBat,CC(C)CC(CO)O,PEGDME,87760-51-8; 91049-45-5; 24347-54-4; 72110-08-8,nan,nan,nan,nan,nan,nan,nan,nan,-34.46496536,-25.86171255,nan,0.938,118.17,nan,112.25,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0035,ComBat,CCCCOCCOCCOCCCC,DEGDBE,112-73-2,nan,nan,nan,2.16,nan,nan,nan,nan,-28.02027005,-28.53965431,nan,0.885,218.33,-60.05,256.0611111,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0036,ComBat,CCOCCOCCOCC,EEE,112-36-7,nan,nan,5.7,1.268,nan,nan,nan,nan,-25.11395724,-24.44911251,nan,0.9063,162.23,-44.32777778,188.8388889,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0037,ComBat,CCOS(=O)OCC,DES,623-81-4,nan,nan,15.9,nan,nan,nan,nan,nan,-36.70998525,-30.79988478,nan,1.0704,138.19,nan,158.0,Sulfite,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0038,ComBat,CC(=O)N(C)C,DMA,127-19-5,27.8,nan,38.3,0.92,nan,nan,nan,nan,-33.85827157,-32.35006985,nan,0.943,87.12,-20.05,164.95,Acetamide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0039,ComBat,CN1C=CN=C1,MEIM,616-47-7,nan,nan,nan,1.77,nan,nan,nan,nan,-29.54923659,-30.69665491,nan,1.031,82.1,-60.0,195.5,Azole,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0040,ComBat,CC(=O)NC,NMA,79-16-3,nan,nan,3.97,3.65,nan,nan,nan,nan,-31.13327919,-29.20017977,nan,0.9371,73.09,28.0,205.0,Acetamide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0041,ComBat,COCCOCCOCCOCCOC,TEGDME,143-24-8,nan,nan,7.79,3.418,nan,nan,nan,nan,-39.90902942,-37.49121028,nan,1.00711,222.28,-30.0,275.3,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0042,ComBat,COCCOC,DME,110-71-4,20.0,nan,7.2,0.46,nan,nan,nan,nan,-24.58814712,-25.17106208,nan,0.868,90.12,-57.82777778,84.95,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0043,ComBat,COCCOCCOC,DEGDME,111-96-6,24.0,nan,7.23,1.089,nan,nan,nan,nan,-24.99821889,-23.90980054,nan,0.945,134.17,-67.82777778,160.5055556,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0044,ComBat,COS(=O)OC,DMS,616-42-2,nan,nan,21.89,0.8732,nan,nan,nan,nan,-28.24032828,-28.59862667,nan,1.2054,110.13,nan,126.0,Sulfite,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0045,ComBat,COCCOCCOCCOC,G3,112-49-2,nan,nan,7.5,2.058,nan,nan,nan,nan,-39.63789122,-35.4611801,nan,0.99,178.23,-45.05,216.0611111,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0046,ComBat,COCCOCC(C(F)F)(F)F,TFPG,76127-08-7,nan,nan,nan,nan,nan,nan,nan,nan,-33.90675233,-33.99348894,nan,1.2,190.14,nan,141.2,Fluorinated,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0047,ComBat,CC(C)(C)OC,MTBE,1634-04-4,nan,nan,4.5,0.361,nan,nan,nan,nan,-26.84553553,-26.56793696,nan,0.7405,88.15,-109.05,55.17222222,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0048,ComBat,CC(C)OC(C)C,DIPE,108-20-3,nan,nan,3.95,0.273,nan,nan,nan,nan,-27.42595608,-27.78499495,nan,0.724,102.17,-86.16111111,68.83888889,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0049,ComBat,CCCCCCOC,HME,7/3/47,nan,nan,nan,nan,nan,nan,nan,nan,-26.20251427,-27.60268114,nan,0.7661,116.2,nan,126.1,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0050,ComBat,CCC#N,PRN,107-12-0,16.1,nan,27.95,0.454,nan,nan,nan,nan,-23.0627443,-22.84184267,nan,0.802,55.08,-91.71666667,97.17222222,Nitrile,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0051,ComBat,CC(=O)OC,MA,79-20-9,16.5,nan,6.68,0.364,nan,nan,nan,nan,-18.75313325,-19.90887256,nan,0.927,74.08,-97.82777778,56.83888889,Acetate,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0052,ComBat,CSSC,DMDS,624-92-0,40.0,nan,9.77,0.62,nan,nan,nan,nan,-16.69919308,-19.26089761,nan,1.065,94.2,-84.77222222,109.6722222,Sulfide,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0053,ComBat,C1CCOC1,THF,109-99-9,20.0,nan,7.36,0.53,nan,nan,nan,nan,-27.42162427,-28.31084084,nan,0.888,72.11,-108.55,66.06111111,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0054,ComBat,CC#N,ACN,75-05-8,14.1,nan,22.23,0.35,nan,nan,nan,nan,-22.47389859,-21.69228386,4.39e-05,0.787,41.05,-45.05,81.56111111,Nitrile,10.5281/zenodo.7830272,MIT,ComBat Li-S
CB-0055,ComBat,CC1CCCO1,METHF,96-47-9,12.0,nan,6.97,0.4853,nan,nan,nan,nan,-28.06853494,-29.32826155,nan,0.848965,86.13,-136.732,78.0,Ether,10.5281/zenodo.7830272,MIT,ComBat Li-S
