id,source_db,smiles,name,cas,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes
ELO-00030,ELO,C1=C(Cl)[S]=C(C2=[S]C(=CS2)N(=O)=O)S1,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00031,ELO,C#C[C@@H]1[C@H](F)SCCS1,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00032,ELO,c1c(csc1C#N)C(F)(F)F,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00033,ELO,C#Cc1cscc1NC,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00034,ELO,C(CCC)CC=O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00035,ELO,COc1ccc(OC)s1,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00036,ELO,CO[C@@H]1CCCC[C@@H]1[C]([NH])O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00037,ELO,C1C(CCSC1)(F)F,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00038,ELO,C[C@@]12CN3[C@H]4[C@@H](C1)[C@H]4[C@@H]23,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00039,ELO,c1cc(c2c(c1)ON(C(Br)(Br)Br)O2)N(=O)=O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00040,ELO,N1([C@@H]2CCC[C@H]1CCC2)SC,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00041,ELO,CC(=O)c1ccc2c(c1)[nH]sn2O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00042,ELO,c1c(c2c(cc1)C(=O)c1c(C2=O)cccc1)N,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00043,ELO,CCc1c(ccs1)C(F)(F)F,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00044,ELO,CN1C[C@H](N(C)C[C@H]1O)O,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
ELO-00045,ELO,CC[C@@H]1C=CSC=C1C=C,,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics
