id,source_db,smiles,name,cas,formula,sigma_ion_S_cm,E_g_eV,migration_barrier_eV,space_group,icsd_id,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes
SUP-0317,McHaffie_superionic,,La0.5Li0.3Na0.2O3Ti1,,La0.5Li0.3Na0.2O3Ti1,3.64e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0318,McHaffie_superionic,,Li3(NH2)2I,,Li3(NH2)2I,1e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0319,McHaffie_superionic,,Li(Li0.34Ti1.66)O4,,Li(Li0.34Ti1.66)O4,6.03e-08,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0320,McHaffie_superionic,,(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4,,(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4,1.73e-08,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0321,McHaffie_superionic,,(Li0.826Mg0.174)(Li0.374Mg0.026Ti1.60)O4,,(Li0.826Mg0.174)(Li0.374Mg0.026Ti1.60)O4,4.24e-09,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0322,McHaffie_superionic,,(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4,,(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4,1.51e-09,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0323,McHaffie_superionic,,(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4,,(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4,6.56e-10,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0324,McHaffie_superionic,,(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,,(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,1.53e-11,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0325,McHaffie_superionic,,Li2Mg2(MoO4)3,,Li2Mg2(MoO4)3,4.19e-13,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0326,McHaffie_superionic,,Li5La3Nb2O12,,Li5La3Nb2O12,1e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
